start time, request type, latency, response code
1621905473978, POST, 254, 200
1621905474245, POST, 110, 200
1621905474366, POST, 108, 200
1621905474488, POST, 113, 200
1621905474621, POST, 112, 200
1621905474746, POST, 110, 200
1621905474867, POST, 114, 200
1621905475002, POST, 113, 200
1621905475147, POST, 110, 200
1621905475273, POST, 114, 200
1621905475401, POST, 102, 200
1621905475515, POST, 116, 200
1621905475647, POST, 108, 200
1621905475767, POST, 105, 200
1621905475884, POST, 117, 200
1621905476012, POST, 112, 200
1621905476130, POST, 103, 200
1621905476238, POST, 104, 200
1621905476352, POST, 124, 200
1621905476486, POST, 113, 200
1621905476609, POST, 117, 200
1621905476740, POST, 112, 200
1621905476861, POST, 104, 200
1621905476978, POST, 122, 200
1621905477100, POST, 109, 200
1621905477220, POST, 116, 200
1621905477344, POST, 134, 200
1621905477491, POST, 120, 200
1621905477631, POST, 113, 200
1621905477761, POST, 114, 200
1621905477888, POST, 118, 200
1621905478017, POST, 114, 200
1621905478144, POST, 106, 200
1621905478259, POST, 109, 200
1621905478382, POST, 107, 200
1621905478498, POST, 116, 200
1621905478621, POST, 116, 200
1621905478746, POST, 111, 200
1621905478866, POST, 116, 200
1621905473950, POST, 232, 200
1621905474194, POST, 107, 200
1621905474310, POST, 143, 200
1621905474471, POST, 112, 200
1621905474601, POST, 109, 200
1621905474729, POST, 106, 200
1621905474850, POST, 100, 200
1621905474958, POST, 105, 200
1621905475067, POST, 107, 200
1621905475182, POST, 113, 200
1621905475303, POST, 149, 200
1621905475467, POST, 109, 200
1621905475586, POST, 121, 200
1621905475707, POST, 106, 200
1621905475824, POST, 103, 200
1621905475935, POST, 102, 200
1621905476047, POST, 113, 200
1621905476168, POST, 112, 200
1621905476303, POST, 136, 200
1621905476467, POST, 104, 200
1621905476585, POST, 103, 200
1621905476693, POST, 101, 200
1621905476804, POST, 101, 200
1621905476918, POST, 101, 200
1621905477029, POST, 106, 200
1621905477149, POST, 108, 200
1621905477265, POST, 104, 200
1621905477380, POST, 110, 200
1621905477501, POST, 115, 200
1621905477640, POST, 110, 200
1621905477764, POST, 111, 200
1621905477889, POST, 119, 200
1621905478016, POST, 113, 200
1621905478140, POST, 111, 200
1621905478258, POST, 112, 200
1621905478382, POST, 107, 200
1621905478499, POST, 115, 200
1621905478620, POST, 120, 200
1621905478746, POST, 107, 200
1621905478862, POST, 120, 200
1621905473910, POST, 286, 200
1621905474205, POST, 106, 200
1621905474320, POST, 145, 200
1621905474475, POST, 112, 200
1621905474605, POST, 109, 200
